sample_id,E,T,rho,AAV,PF,VPA,RBI,WE,B,N,S,O,F,Na,Al,Si,P,Cl,Ge,Br,I,ln_D
s36,0.3045902517658174,0.094790665882,2.4481975965981113,14.6232388446649,0.35779754372575556,24.151929962801393,1.5315364826112678,2.7164843750000003,0.0,0.0,0.0,0.60546875,0.0,0.12890625,0.0,0.21484375,0.01953125,0.0,0.03125,0.0,0.0,-12.191533017050611
s37,0.3094841454596282,0.04308666631,2.4718965170118077,13.391027682504252,0.5008182386663784,24.018827430523526,1.458522553591289,2.5629646017699113,0.030973451327433628,0.0,0.0,0.5575221238938053,0.0,0.1902654867256637,0.13716814159292035,0.0,0.084070796460177,0.0,0.0,0.0,0.0,-16.588117866644577
s38,0.3094841454596282,0.060321332834,2.4718965170118077,13.391027682504252,0.5008182386663784,24.018827430523526,1.458522553591289,2.5629646017699113,0.030973451327433628,0.0,0.0,0.5575221238938053,0.0,0.1902654867256637,0.13716814159292035,0.0,0.084070796460177,0.0,0.0,0.0,0.0,-14.60744563371568
s39,0.3094841454596282,0.077555999358,2.4718965170118077,13.391027682504252,0.5008182386663784,24.018827430523526,1.458522553591289,2.5629646017699113,0.030973451327433628,0.0,0.0,0.5575221238938053,0.0,0.1902654867256637,0.13716814159292035,0.0,0.084070796460177,0.0,0.0,0.0,0.0,-13.543207398936959
s40,0.3094841454596282,0.094790665882,2.4718965170118077,13.391027682504252,0.5008182386663784,24.018827430523526,1.458522553591289,2.5629646017699113,0.030973451327433628,0.0,0.0,0.5575221238938053,0.0,0.1902654867256637,0.13716814159292035,0.0,0.084070796460177,0.0,0.0,0.0,0.0,-12.598982871127538
s41,0.35683137520963887,0.04308666631,2.2128594723193835,23.40223503869781,0.4481410237242729,44.906991560744395,4.535830599021623,1.9782159624413147,0.0,0.0,0.5211267605633803,0.0,0.0,0.29107981220657275,0.0,0.13145539906103287,0.0,0.0,0.056338028169014086,0.0,0.0,-15.063673362411775
s42,0.35683137520963887,0.060321332834,2.2128594723193835,23.40223503869781,0.4481410237242729,44.906991560744395,4.535830599021623,1.9782159624413147,0.0,0.0,0.5211267605633803,0.0,0.0,0.29107981220657275,0.0,0.13145539906103287,0.0,0.0,0.056338028169014086,0.0,0.0,-12.92327801429672
s43,0.35683137520963887,0.077555999358,2.2128594723193835,23.40223503869781,0.4481410237242729,44.906991560744395,4.535830599021623,1.9782159624413147,0.0,0.0,0.5211267605633803,0.0,0.0,0.29107981220657275,0.0,0.13145539906103287,0.0,0.0,0.056338028169014086,0.0,0.0,-11.444907325592647
s44,0.35683137520963887,0.094790665882,2.2128594723193835,23.40223503869781,0.4481410237242729,44.906991560744395,4.535830599021623,1.9782159624413147,0.0,0.0,0.5211267605633803,0.0,0.0,0.29107981220657275,0.0,0.13145539906103287,0.0,0.0,0.056338028169014086,0.0,0.0,-10.545101923307842
s45,0.3734380360944447,0.04308666631,2.007450295742377,22.074697226122822,0.40754850019263256,42.89988328850284,3.1907482171958668,2.017184466019417,0.1262135922330097,0.0,0.5145631067961165,0.0,0.0,0.22330097087378642,0.11650485436893204,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,-15.498210898800634
s46,0.3734380360944447,0.060321332834,2.007450295742377,22.074697226122822,0.40754850019263256,42.89988328850284,3.1907482171958668,2.017184466019417,0.1262135922330097,0.0,0.5145631067961165,0.0,0.0,0.22330097087378642,0.11650485436893204,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,-13.030063069190115
s47,0.3734380360944447,0.077555999358,2.007450295742377,22.074697226122822,0.40754850019263256,42.89988328850284,3.1907482171958668,2.017184466019417,0.1262135922330097,0.0,0.5145631067961165,0.0,0.0,0.22330097087378642,0.11650485436893204,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,-11.681892593448204
s48,0.3734380360944447,0.094790665882,2.007450295742377,22.074697226122822,0.40754850019263256,42.89988328850284,3.1907482171958668,2.017184466019417,0.1262135922330097,0.0,0.5145631067961165,0.0,0.0,0.22330097087378642,0.11650485436893204,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,-10.752073121523507
s49,0.32890301821612783,0.04308666631,1.9705584710112947,24.832499569026897,0.3750136699841821,44.49983922769616,3.735438555751883,2.098125,0.017857142857142856,0.0,0.46875,0.0,0.0,0.24107142857142858,0.0,0.18303571428571427,0.0,0.08035714285714286,0.0,0.008928571428571428,0.0,-14.531482963711055
s50,0.32890301821612783,0.060321332834,1.9705584710112947,24.832499569026897,0.3750136699841821,44.49983922769616,3.735438555751883,2.098125,0.017857142857142856,0.0,0.46875,0.0,0.0,0.24107142857142858,0.0,0.18303571428571427,0.0,0.08035714285714286,0.0,0.008928571428571428,0.0,-12.273888674281501
s51,0.32890301821612783,0.077555999358,1.9705584710112947,24.832499569026897,0.3750136699841821,44.49983922769616,3.735438555751883,2.098125,0.017857142857142856,0.0,0.46875,0.0,0.0,0.24107142857142858,0.0,0.18303571428571427,0.0,0.08035714285714286,0.0,0.008928571428571428,0.0,-11.088753796626417
s52,0.32890301821612783,0.094790665882,1.9705584710112947,24.832499569026897,0.3750136699841821,44.49983922769616,3.735438555751883,2.098125,0.017857142857142856,0.0,0.46875,0.0,0.0,0.24107142857142858,0.0,0.18303571428571427,0.0,0.08035714285714286,0.0,0.008928571428571428,0.0,-10.384259893486323
s53,0.3166502385491129,0.04308666631,2.0003409087508985,24.066569914789543,0.39352342490328823,44.290578246545415,3.796863844671051,2.0303196347031967,0.0,0.0,0.54337899543379,0.0,0.0,0.2465753424657534,0.0,0.2100456621004566,0.0,0.0,0.0,0.0,0.0,-14.651697480634432
s54,0.3166502385491129,0.060321332834,2.0003409087508985,24.066569914789543,0.39352342490328823,44.290578246545415,3.796863844671051,2.0303196347031967,0.0,0.0,0.54337899543379,0.0,0.0,0.2465753424657534,0.0,0.2100456621004566,0.0,0.0,0.0,0.0,0.0,-12.814526293208994
s55,0.3166502385491129,0.077555999358,2.0003409087508985,24.066569914789543,0.39352342490328823,44.290578246545415,3.796863844671051,2.0303196347031967,0.0,0.0,0.54337899543379,0.0,0.0,0.2465753424657534,0.0,0.2100456621004566,0.0,0.0,0.0,0.0,0.0,-11.449428635621194
s56,0.3166502385491129,0.094790665882,2.0003409087508985,24.066569914789543,0.39352342490328823,44.290578246545415,3.796863844671051,2.0303196347031967,0.0,0.0,0.54337899543379,0.0,0.0,0.2465753424657534,0.0,0.2100456621004566,0.0,0.0,0.0,0.0,0.0,-10.646064425580263
s57,0.37615745986373555,0.04308666631,2.034557338851201,21.906261638475762,0.5136918428473205,46.799740773107295,2.670055019176033,1.871808510638298,0.07446808510638298,0.0,0.46808510638297873,0.0,0.0,0.32978723404255317,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,-15.811978797280311
s58,0.37615745986373555,0.060321332834,2.034557338851201,21.906261638475762,0.5136918428473205,46.799740773107295,2.670055019176033,1.871808510638298,0.07446808510638298,0.0,0.46808510638297873,0.0,0.0,0.32978723404255317,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,-13.499232385184198
s59,0.37615745986373555,0.077555999358,2.034557338851201,21.906261638475762,0.5136918428473205,46.799740773107295,2.670055019176033,1.871808510638298,0.07446808510638298,0.0,0.46808510638297873,0.0,0.0,0.32978723404255317,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,-12.05519609706438
s60,0.37615745986373555,0.094790665882,2.034557338851201,21.906261638475762,0.5136918428473205,46.799740773107295,2.670055019176033,1.871808510638298,0.07446808510638298,0.0,0.46808510638297873,0.0,0.0,0.32978723404255317,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,-11.008286757009666
s61,0.3301976321696667,0.04308666631,2.4388546100836814,13.86284772250298,0.5033684147589088,24.082903342742384,1.959141103983971,2.605378151260504,0.0,0.0,0.0,0.5756302521008403,0.0,0.226890756302521,0.0,0.06302521008403361,0.13445378151260504,0.0,0.0,0.0,0.0,-16.193155002158832
s62,0.3301976321696667,0.060321332834,2.4388546100836814,13.86284772250298,0.5033684147589088,24.082903342742384,1.959141103983971,2.605378151260504,0.0,0.0,0.0,0.5756302521008403,0.0,0.226890756302521,0.0,0.06302521008403361,0.13445378151260504,0.0,0.0,0.0,0.0,-14.622271004968917
