# c0 + a0 * (poly_dist_std - Si) + a1 * (PF / NBI) + a2 * (Al + O) + a3 * (face-area-avg / E_T) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.287413147333563; Max AE: 1.58806969271692
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.806984054897211e+00, -9.948932166188942e-01, -2.502739536109868e+00,  6.964466086908311e+00, -5.597086952734719e-01, -1.317002452014638e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         29|16|sub; (poly_dist_std - Si); $\left(poly_{dist, std} - Si\right)$; (poly_dist_std - Si); (newdata$poly_dist_std - newdata$Si); poly_dist_std,Si
# 1;  1; Unitless;                                         3|5|div; (PF / NBI); $\left(\frac{ PF }{ NBI } \right)$; (PF ./ NBI); (newdata$PF / newdata$NBI); PF,NBI
# 2;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 3;  1; A^2;                                              33|0|div; (face-area-avg / E_T); $\left(\frac{ face-area-avg }{ E_{T} } \right)$; (face_sub_area_sub_avg ./ E_T); (newdata$face_sub_area_sub_avg / newdata$E_T); face-area-avg,E_T
# 4;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s50         , -2.022197746600499e+01, -2.020213924746667e+01, -2.483401678615084e-03,  7.740164354920850e-01,  0.000000000000000e+00,  2.302528396614023e-01,  1.404507687388660e+01
s51         , -2.208446385448407e+01, -2.238125161105855e+01,  1.227274818498446e-01,  9.948458408447785e-01,  4.070351758793970e-01,  1.433814677408801e-01,  1.504907950960228e+01
s52         , -2.030062191637932e+01, -2.006227150266549e+01,  1.520987241903020e-01,  2.515395917343078e-01,  4.397759103641457e-01,  2.586951198718043e-01,  1.361040272199163e+01
s53         , -1.881589086732163e+01, -1.887564958820800e+01,  8.952773066833755e-02,  6.687496114257532e-01,  6.188524590163935e-01,  2.754228540806260e-01,  9.954128737823392e+00
s54         , -2.389190768082197e+01, -2.400315399863144e+01,  1.318555181903771e-01,  1.117580237155085e+00,  3.333333333333333e-01,  1.091747907334227e-01,  1.766207135869826e+01
s55         , -1.989931101552115e+01, -1.990194805195132e+01,  1.052724886199087e-02,  7.875229153275906e-01,  9.016393442622951e-02,  2.438107548071180e-01,  1.329227122811093e+01
s56         , -2.293632659980805e+01, -2.338496468582720e+01,  1.037977276798783e-01,  1.280628866217657e+00,  5.108695652173912e-01,  1.273509775127575e-01,  1.560949510283250e+01
s57         , -2.165250835772914e+01, -2.131062051428953e+01,  8.885153518759126e-02,  5.925559493349998e-01,  3.983050847457627e-01,  1.552125610354366e-01,  1.392820623909980e+01
s58         , -2.493828100106786e+01, -2.504976994913525e+01, -1.135208507336603e-01,  9.446088604714257e-01,  5.333333333333333e-01,  1.130055009180943e-01,  1.820064394160582e+01
s59         , -2.019609135900962e+01, -2.013398714642434e+01, -1.149143001370448e-01,  1.086945615369124e+00,  0.000000000000000e+00,  2.259318544048532e-01,  1.295033344640037e+01
s60         , -1.686951544328429e+01, -1.708957362148924e+01,  7.762239029444780e-02,  5.335302302029524e-01,  5.594405594405594e-02,  3.556532918114013e-01,  1.048032280800659e+01
s61         , -1.698686520707895e+01, -1.745104356223205e+01,  6.038220509004746e-02,  4.648362379384635e-01,  4.620462046204620e-02,  3.202537622018857e-01,  1.079565976127190e+01
s62         , -1.961666852236879e+01, -1.973043243179730e+01,  7.673933713357303e-02,  1.041298572475540e+00,  0.000000000000000e+00,  2.315275558107703e-01,  1.299883252854930e+01
s63         , -2.363642228074260e+01, -2.318031500919262e+01,  1.074901841323404e-01,  9.438404065223605e-01,  4.528301886792453e-01,  1.413473550364832e-01,  1.628810851264553e+01
s64         , -2.123215125329894e+01, -2.164386082483245e+01,  1.456198243202811e-01,  1.199061044823546e+00,  5.051546391752577e-01,  1.531342444038888e-01,  1.312514729915971e+01
s65         , -2.229595939650926e+01, -2.201076149712742e+01,  1.169846361043287e-01,  8.334584047995836e-01,  4.868421052631579e-01,  1.602524673750176e-01,  1.450854380874742e+01
s66         , -2.209517036440609e+01, -2.184827426420097e+01,  1.272840314188673e-01,  9.418791211678947e-01,  2.906403940886699e-01,  1.796295575203078e-01,  1.517719420649046e+01
s67         , -2.100952424313996e+01, -2.099870535518421e+01, -1.551350098635144e-01,  4.155252200714535e-01,  5.231316725978647e-01,  2.039945664601565e-01,  1.294673837424978e+01
s68         , -2.306714632630091e+01, -2.300926059584133e+01,  9.671843919056930e-02,  1.092895558657403e+00,  3.492063492063492e-01,  1.450092000194870e-01,  1.619168966157265e+01
s69         , -2.116954741071400e+01, -2.144426789384430e+01, -6.569801154704791e-02,  6.595879562819226e-01,  3.794466403162055e-01,  1.707302838126772e-01,  1.382629528419714e+01
s70         , -2.268552320802911e+01, -2.171803729316003e+01,  1.173397487425756e-01,  7.361822749193626e-01,  5.254237288135594e-01,  1.795554026282287e-01,  1.422727557521243e+01
s71         , -1.844586653395837e+01, -1.904975304988337e+01, -2.423419993247397e-03,  5.149793095740114e-01,  0.000000000000000e+00,  2.634668146139577e-01,  1.286009272831540e+01
s72         , -2.185924535832699e+01, -2.163730064968098e+01,  1.102728872623925e-01,  7.988555005713230e-01,  4.893617021276596e-01,  1.625692394641123e-01,  1.389870248804440e+01
