# c0 + a0 * (face-area-avg * NBI) + a1 * (P + B) + a2 * (AAV * E_T) + a3 * (Al + O) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.293994236610423; Max AE: 1.64253612048114
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.091020500462270e+00,  2.079814199320081e+00,  5.660807286367001e-03, -1.522534404028936e+00, -8.018099779108117e-01, -1.262761384563423e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A^2;                                              32|4|mult; (face-area-avg * NBI); $\left(face-area-avg NBI\right)$; (face_sub_area_sub_avg .* NBI); (newdata$face_sub_area_sub_avg * newdata$NBI); face-area-avg,NBI
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; A^3;                                              1|0|mult; (AAV * E_T); $\left(AAV E_{T}\right)$; (AAV .* E_T); (newdata$AAV * newdata$E_T); AAV,E_T
# 3;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 4;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s62         , -1.961666852236879e+01, -1.941028239705720e+01,  1.477185102220322e+00,  1.179487179487179e-01,  3.149682250396115e+02,  0.000000000000000e+00,  1.299883252854930e+01
s63         , -2.363642228074260e+01, -2.307549544915831e+01,  1.533976794777927e+00,  1.273584905660377e-01,  2.407878714612876e+02,  4.528301886792453e-01,  1.628810851264553e+01
s64         , -2.123215125329894e+01, -2.155168561159647e+01,  1.268463771228304e+00,  0.000000000000000e+00,  1.740030333519275e+02,  5.051546391752577e-01,  1.312514729915971e+01
s65         , -2.229595939650926e+01, -2.195958408975154e+01,  1.387683958927131e+00,  1.491228070175439e-01,  2.152024191654944e+02,  4.868421052631579e-01,  1.450854380874742e+01
s66         , -2.209517036440609e+01, -2.169109131833789e+01,  1.719530387368552e+00,  1.477832512315271e-02,  2.899726347660800e+02,  2.906403940886699e-01,  1.517719420649046e+01
s67         , -2.100952424313996e+01, -2.094813072176148e+01,  1.609145707489228e+00,  0.000000000000000e+00,  1.945274043624223e+02,  5.231316725978647e-01,  1.294673837424978e+01
s68         , -2.306714632630091e+01, -2.294999396931133e+01,  1.510460140026162e+00,  2.645502645502645e-02,  2.630353400302007e+02,  3.492063492063492e-01,  1.619168966157265e+01
s69         , -2.116954741071400e+01, -2.147378025200005e+01,  1.563943807113282e+00,  0.000000000000000e+00,  1.963184512505964e+02,  3.794466403162055e-01,  1.382629528419714e+01
s70         , -2.268552320802911e+01, -2.191379936128554e+01,  1.550210092672442e+00,  0.000000000000000e+00,  2.172924548563621e+02,  5.254237288135594e-01,  1.422727557521243e+01
s71         , -1.844586653395837e+01, -1.895675793961723e+01,  1.492291713042725e+00,  2.041522491349481e-01,  3.408501432139894e+02,  0.000000000000000e+00,  1.286009272831540e+01
s72         , -2.185924535832699e+01, -2.174134848689291e+01,  1.467638283665876e+00,  5.106382978723404e-02,  1.886704376492228e+02,  4.893617021276596e-01,  1.389870248804440e+01
s73         , -1.814705961150877e+01, -1.805816604258209e+01,  1.584107951781775e+00,  2.415254237288136e-01,  2.200201075350030e+02,  0.000000000000000e+00,  1.110820035458225e+01
s74         , -2.269683109870329e+01, -2.343865674966803e+01,  1.208603042076396e+00,  1.573033707865168e-01,  1.980676951456788e+02,  4.382022471910113e-01,  1.610214489007334e+01
s75         , -2.162544692540680e+01, -2.180241243044878e+01,  1.173803916837161e+00,  0.000000000000000e+00,  2.316581060939525e+02,  5.637254901960784e-01,  1.360487330389796e+01
s76         , -1.799713371423827e+01, -1.818720900690159e+01,  1.623327695339069e+00,  1.964285714285714e-01,  3.154499114370020e+02,  0.000000000000000e+00,  1.187926729201374e+01
