# c0 + a0 * (poly_dist_avg_fixed - NBI) + a1 * (P + B) + a2 * (face-area-avg * E_T) + a3 * (E_T / face-area-avg) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.294868322057634; Max AE: 1.80136853907234
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -4.164697496472354e+00,  2.501536993115274e+00,  1.747862036699488e-01,  5.819362997572881e-01, -1.330638429775397e+00, -1.353368406577642e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         30|4|sub; (poly_dist_avg_fixed - NBI); $\left(poly_{dist, avg, fixed} - NBI\right)$; (poly_dist_avg_fixed - NBI); (newdata$poly_dist_avg_fixed - newdata$NBI); poly_dist_avg_fixed,NBI
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; A^2;                                              32|0|mult; (face-area-avg * E_T); $\left(face-area-avg E_{T}\right)$; (face_sub_area_sub_avg .* E_T); (newdata$face_sub_area_sub_avg * newdata$E_T); face-area-avg,E_T
# 3;  1; A^-2;                                             0|32|div; (E_T / face-area-avg); $\left(\frac{ E_{T} }{ face-area-avg } \right)$; (E_T ./ face_sub_area_sub_avg); (newdata$E_T / newdata$face_sub_area_sub_avg); E_T,face-area-avg
# 4;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s77         , -1.808839931225978e+01, -1.813222406847089e+01, -3.638593645109406e-01,  0.000000000000000e+00,  3.628673276874780e+01,  3.187863990442921e+00,  1.075533210664907e+01
s78         , -1.710463489071706e+01, -1.718582099659547e+01, -3.625951517296276e-01,  2.243346007604563e-01,  3.601094682212594e+01,  2.961251562538097e+00,  1.032654213885252e+01
s79         , -2.130172009097587e+01, -2.116915943266022e+01, -3.502822733371325e-01,  1.459074733096085e-01,  3.596433362585859e+01,  5.217554807998119e+00,  1.411475985979630e+01
s80         , -2.075517304342145e+01, -2.066722238649727e+01, -3.156453457198672e-01,  2.200000000000000e-01,  3.823748834792196e+01,  5.154915064972451e+00,  1.403962267054964e+01
s81         , -1.679587307458704e+01, -1.709795052378915e+01, -4.037627729542787e-01,  2.415254237288136e-01,  3.139348694713036e+01,  3.109321851440782e+00,  9.879901566191508e+00
s82         , -1.961963418382102e+01, -1.949770449514154e+01, -3.514991584398338e-01,  3.045685279187817e-02,  3.972811204197387e+01,  4.001106569488591e+00,  1.260779164185863e+01
s83         , -1.732943596118787e+01, -1.725785576945687e+01, -4.443266295740654e-01,  1.181434599156118e-01,  3.647107964249805e+01,  3.041660860310855e+00,  1.053245723854915e+01
s84         , -2.091958911511147e+01, -2.113281487390993e+01, -3.154058884957291e-01,  2.041522491349481e-01,  4.840705717084564e+01,  4.941784247187583e+00,  1.560159713860114e+01
s85         , -1.931803893900067e+01, -1.943944473383539e+01, -3.609923178510632e-01,  0.000000000000000e+00,  3.455310487172911e+01,  3.929412701584599e+00,  1.182534491088885e+01
s86         , -2.124992178205270e+01, -2.067679564156887e+01, -3.112309610729339e-01,  0.000000000000000e+00,  3.236112437565465e+01,  4.735995005305298e+00,  1.266431172306523e+01
s87         , -2.000999990609716e+01, -1.987667056970143e+01, -3.044046511047266e-01,  1.116071428571429e-01,  3.934712000320056e+01,  4.273102502242202e+00,  1.296666020769036e+01
